,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability,True Rt
24,25,0.2684301324035997,0.525725124045846,0.26518223204421687,0.27170256563141776,0.95,0.5047159
25,26,0.22334929021759845,0.4326346393855961,0.22008641387721992,0.22664300304495283,0.95,0.43310377
26,27,0.18854104459516238,0.3562336266359971,0.1851807475214326,0.19194118830977258,0.95,0.35983095
27,28,0.15682859314094127,0.3069583963011841,0.15333269696179436,0.16037724102732184,0.95,0.29740328
28,29,0.1350725097719287,0.2527702593627092,0.13131391759539382,0.13890241592614577,0.95,0.23489022
29,30,0.11719436189640814,0.21407211546640081,0.11307964487636947,0.12140723827603554,0.95,0.20826456
30,31,0.10692951288383076,0.1699388306740916,0.10226803459771527,0.11172806978493798,0.95,0.18184242
31,32,0.09962098411874576,0.14640989821749623,0.09423306983054777,0.10520248491230857,0.95,0.14182818
32,33,0.09745716907027151,0.12142239704223248,0.09107697727660904,0.10411271815520623,0.95,0.13106996
33,34,0.09681871153582404,0.1087411404492832,0.0891545173474636,0.10487628088786938,0.95,0.1296467
34,35,0.09849827994397997,0.09681432853428298,0.08921193130343745,0.10834691621621727,0.95,0.12104019
35,36,0.10396225569065094,0.09779727855574388,0.09248193193816626,0.11624570440950933,0.95,0.10274869
36,37,0.11199893290308072,0.09384826488888749,0.097864892884505,0.1272756568289503,0.95,0.09020369
37,38,0.125564011583338,0.08779109941724858,0.10784368569711889,0.14490407792544122,0.95,0.117910445
38,39,0.12884131284207348,0.08184972483371611,0.10761846417841894,0.15234429249889053,0.95,0.083526686
39,40,0.1399844155769944,0.1045095318093957,0.11397519435956556,0.16918119271902274,0.95,0.1292876
40,41,0.14552488196021526,0.12945477205680656,0.11464200755345398,0.18082529398840919,0.95,0.055900622
41,42,0.15520426518505814,0.11056015940461587,0.11816653542024945,0.19832718740932972,0.95,0.11170213
42,43,0.1589391516648998,0.1328842226891531,0.1159394008246575,0.21026744901579847,0.95,0.09615385
43,44,0.16081745157227179,0.13425358640574367,0.11068254799292984,0.22231694736694568,0.95,0.018018018
44,45,0.15619175626898862,0.1561944721235597,0.10017181351570835,0.22763387310549393,0.95,0.10869565
45,46,0.15966562948442728,0.16389835507472006,0.09361987245515503,0.2466566949964541,0.95,0.057971016
46,47,0.15068794697779125,0.16500676581129323,0.0784600149728833,0.251228729985791,0.95,0.12
47,48,0.18402218349244043,0.1725125737973794,0.09210919245233103,0.31444645194343257,0.95,0.078947365
48,49,0.1740426193744652,0.12489045850869214,0.07453140382771427,0.32563097689014464,0.95,0.0
